departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro,Direccion2,Full Address,Coords
52,NARIÑO,52520,FRANCISCO PIZARRO (SALAHONDA),COMBUSTIBLE MAR PACIFICO LTDA,BIOMAX,BARRIO MIRAFLORES,GASOLINA CORRIENTE OXIGENADA,"8,000",1,2017-03-30,BARRIO MIRAFLORES,"BARRIO MIRAFLORES,FRANCISCO PIZARRO (SALAHONDA),Colombia","(2.0403017, -78.6582394)"
52,NARIÑO,52520,FRANCISCO PIZARRO (SALAHONDA),COMBUSTIBLE MAR PACIFICO LTDA,BIOMAX,BARRIO MIRAFLORES,BIODIESEL EXTRA,"8,000",1,2017-03-30,BARRIO MIRAFLORES,"BARRIO MIRAFLORES,FRANCISCO PIZARRO (SALAHONDA),Colombia","(2.0403017, -78.6582394)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES  EL 20 DE JULIO,TERPEL,MUELLE PRINCIPAL,BIODIESEL EXTRA,"6,810",1,2017-10-06,MUELLE PRINCIPAL,"MUELLE PRINCIPAL,BARBACOAS,Colombia","(1.5635978, -78.0195387)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES  EL 20 DE JULIO,TERPEL,MUELLE PRINCIPAL,GASOLINA CORRIENTE OXIGENADA,"6,950",1,2017-10-06,MUELLE PRINCIPAL,"MUELLE PRINCIPAL,BARBACOAS,Colombia","(1.5635978, -78.0195387)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO EL NAZARENO,BIOMAX,CALLE PRINCIPAL DE MAGUI,GASOLINA CORRIENTE OXIGENADA,"7,500",1,2017-10-28,CALLE PRINCIPAL DE MAGUI,"CALLE PRINCIPAL DE MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO EL NAZARENO,BIOMAX,CALLE PRINCIPAL DE MAGUI,BIODIESEL EXTRA,"7,500",1,2017-10-28,CALLE PRINCIPAL DE MAGUI,"CALLE PRINCIPAL DE MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52079,BARBACOAS,SERVICIO DE COMBUSTIBLE ORTIZ,BIOMAX,BARBACOAS DE BARBACOAS,BIODIESEL EXTRA,"6,530",1,2017-07-01,BARBACOAS DE BARBACOAS,"BARBACOAS DE BARBACOAS,BARBACOAS,Colombia","(1.6711084, -78.139393)"
52,NARIÑO,52079,BARBACOAS,SERVICIO DE COMBUSTIBLE ORTIZ,BIOMAX,BARBACOAS DE BARBACOAS,KEROSENE,"5,000",1,2017-07-01,BARBACOAS DE BARBACOAS,"BARBACOAS DE BARBACOAS,BARBACOAS,Colombia","(1.6711084, -78.139393)"
52,NARIÑO,52079,BARBACOAS,SERVICIO DE COMBUSTIBLE ORTIZ,BIOMAX,BARBACOAS DE BARBACOAS,GASOLINA CORRIENTE OXIGENADA,"6,620",1,2017-07-01,BARBACOAS DE BARBACOAS,"BARBACOAS DE BARBACOAS,BARBACOAS,Colombia","(1.6711084, -78.139393)"
52,NARIÑO,52696,SANTA BARBARA (ISCUANDE),ESTACION DE SERVICIO LA COLONIA,PETROMIL,MUELLE VEREDA SANTA RITA,GASOLINA CORRIENTE OXIGENADA,"6,300",1,2017-08-16,MUELLE VEREDA SANTA RITA,"MUELLE VEREDA SANTA RITA,SANTA BARBARA (ISCUANDE),Colombia","(2.4505212, -77.98026930000002)"
52,NARIÑO,52696,SANTA BARBARA (ISCUANDE),ESTACION DE SERVICIO LA COLONIA,PETROMIL,MUELLE VEREDA SANTA RITA,BIODIESEL EXTRA,"6,250",1,2017-08-16,MUELLE VEREDA SANTA RITA,"MUELLE VEREDA SANTA RITA,SANTA BARBARA (ISCUANDE),Colombia","(2.4505212, -77.98026930000002)"
52,NARIÑO,52079,BARBACOAS,COMBUSTIBLES ADRIAN,TERPEL,Las Riveras del Río Telembí,GASOLINA CORRIENTE OXIGENADA,"6,950",1,2017-10-06,Las Riveras del Río Telembí,"Las Riveras del Río Telembí,BARBACOAS,Colombia","(1.503034049436271, -77.97385956950869)"
52,NARIÑO,52079,BARBACOAS,COMBUSTIBLES ADRIAN,TERPEL,Las Riveras del Río Telembí,BIODIESEL EXTRA,"6,810",1,2017-10-06,Las Riveras del Río Telembí,"Las Riveras del Río Telembí,BARBACOAS,Colombia","(1.503034049436271, -77.97385956950869)"
25,CUNDINAMARCA,25807,TIBIRITA,ESTACION DE SERVICIO EL SALITRE,BIOMAX,VEREDA LOS LLANOS,GASOLINA CORRIENTE OXIGENADA,"8,580",1,2017-03-06,VEREDA LOS LLANOS,"VEREDA LOS LLANOS,TIBIRITA,Colombia","(5.052433, -73.5046459)"
25,CUNDINAMARCA,25807,TIBIRITA,ESTACION DE SERVICIO EL SALITRE,BIOMAX,VEREDA LOS LLANOS,BIODIESEL EXTRA,"8,170",1,2017-03-06,VEREDA LOS LLANOS,"VEREDA LOS LLANOS,TIBIRITA,Colombia","(5.052433, -73.5046459)"
52,NARIÑO,52473,MOSQUERA,ESTACION DE SERVICIO EL SOL,BIOMAX,BARRIO EL CARMEN,GASOLINA CORRIENTE OXIGENADA,"7,250",1,2017-04-05,BARRIO EL CARMEN,"BARRIO EL CARMEN,MOSQUERA,Colombia","(4.570868, -74.297333)"
