departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro,Direccion2,Full Address,Coords
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVIICO NUEVA OLA,BIOMAX,VEREDA BOCAS DE MAGUI,BIODIESEL EXTRA,"6,800",1,2017-10-30,VEREDA BOCAS DE MAGUI,"VEREDA BOCAS DE MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVIICO NUEVA OLA,BIOMAX,VEREDA BOCAS DE MAGUI,GASOLINA CORRIENTE OXIGENADA,"6,700",1,2017-10-30,VEREDA BOCAS DE MAGUI,"VEREDA BOCAS DE MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO GASOLINERA RANCHO GRANDE,BIOMAX,CALLE PRINCIPAL,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-10-01,CALLE PRINCIPAL,"CALLE PRINCIPAL,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO GASOLINERA RANCHO GRANDE,BIOMAX,CALLE PRINCIPAL,BIODIESEL EXTRA,"6,860",1,2017-10-01,CALLE PRINCIPAL,"CALLE PRINCIPAL,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO 29 DE AGOSTO,BIOMAX,BARRIO EL PARAISO,GASOLINA CORRIENTE OXIGENADA,"6,500",1,2017-10-11,BARRIO EL PARAISO,"BARRIO EL PARAISO,BARBACOAS,Colombia","(1.674177, -78.1334037)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO 29 DE AGOSTO,BIOMAX,BARRIO EL PARAISO,BIODIESEL EXTRA,"6,500",1,2017-10-11,BARRIO EL PARAISO,"BARRIO EL PARAISO,BARBACOAS,Colombia","(1.674177, -78.1334037)"
52,NARIÑO,52490,OLAYA HERRERA (BOCAS DE SATINGA),ESTACION DE SERVICIO DEPOSITO CAICEDO,BIOMAX,VEREDA LA LOMA,BIODIESEL EXTRA,"6,223",1,2017-06-01,VEREDA LA LOMA,"VEREDA LA LOMA,OLAYA HERRERA (BOCAS DE SATINGA),Colombia","(2.3485311, -78.32621089999999)"
52,NARIÑO,52490,OLAYA HERRERA (BOCAS DE SATINGA),ESTACION DE SERVICIO DEPOSITO CAICEDO,BIOMAX,VEREDA LA LOMA,GASOLINA CORRIENTE,"6,138",1,2017-06-01,VEREDA LA LOMA,"VEREDA LA LOMA,OLAYA HERRERA (BOCAS DE SATINGA),Colombia","(2.3485311, -78.32621089999999)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO GASOLINERA EL PUEBLO DE PAYAN,PETROMIL,VEREDA LOMA LINDA,BIODIESEL EXTRA,"6,500",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO GASOLINERA EL PUEBLO DE PAYAN,PETROMIL,VEREDA LOMA LINDA,BIODIESEL EXTRA,"6,500",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO COMBUSTIBLES LA BONANZA,TEXACO,VEREDA LOMA LINDA,BIODIESEL EXTRA,"6,600",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO COMBUSTIBLES LA BONANZA,TEXACO,VEREDA LOMA LINDA,BIODIESEL EXTRA,"6,600",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO COMBUSTIBLES LA BONANZA,TEXACO,VEREDA LOMA LINDA,GASOLINA CORRIENTE OXIGENADA,"6,700",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO COMBUSTIBLES LA BONANZA,TEXACO,VEREDA LOMA LINDA,GASOLINA CORRIENTE OXIGENADA,"6,700",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO GASOLINERA EL PUEBLO DE PAYAN,PETROMIL,VEREDA LOMA LINDA,GASOLINA CORRIENTE OXIGENADA,"6,650",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO GASOLINERA EL PUEBLO DE PAYAN,PETROMIL,VEREDA LOMA LINDA,GASOLINA CORRIENTE OXIGENADA,"6,650",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO VILLA FLOR,TERPEL,BARRIO LA PLAYITA,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-09-06,BARRIO LA PLAYITA,"BARRIO LA PLAYITA,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO VILLA FLOR,TERPEL,BARRIO LA PLAYITA,BIODIESEL EXTRA,"6,860",1,2017-09-06,BARRIO LA PLAYITA,"BARRIO LA PLAYITA,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO ALEXANDRA,BIOMAX,Riveras Río Telembí,GASOLINA CORRIENTE OXIGENADA,"6,950",1,2017-10-04,Riveras Río Telembí,"Riveras Río Telembí,BARBACOAS,Colombia","(1.503034049436271, -77.97385956950869)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO ALEXANDRA,BIOMAX,Riveras Río Telembí,BIODIESEL EXTRA,"6,810",1,2017-10-04,Riveras Río Telembí,"Riveras Río Telembí,BARBACOAS,Colombia","(1.503034049436271, -77.97385956950869)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO COMBUSTIBLES SAN RAFAEL,BIOMAX,RIVERA DEL RIO TELEMBI FRENTE APASO GRANDE,BIODIESEL EXTRA,"8,730",1,2017-10-19,RIVERA DEL RIO TELEMBI FRENTE APASO GRANDE,"RIVERA DEL RIO TELEMBI FRENTE APASO GRANDE,BARBACOAS,Colombia","(1.5635978, -78.0195387)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO COMBUSTIBLES SAN RAFAEL,BIOMAX,RIVERA DEL RIO TELEMBI FRENTE APASO GRANDE,GASOLINA CORRIENTE OXIGENADA,"9,270",1,2017-10-19,RIVERA DEL RIO TELEMBI FRENTE APASO GRANDE,"RIVERA DEL RIO TELEMBI FRENTE APASO GRANDE,BARBACOAS,Colombia","(1.5635978, -78.0195387)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,COMBUSTIBLES Y LUBRICANTES BRISAS DEL PATIA,BIOMAX,ROBERTO PAYAN,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-09-06,ROBERTO PAYAN,"ROBERTO PAYAN,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,COMBUSTIBLES Y LUBRICANTES BRISAS DEL PATIA,BIOMAX,ROBERTO PAYAN,BIODIESEL EXTRA,"6,860",1,2017-09-06,ROBERTO PAYAN,"ROBERTO PAYAN,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO FLUVIAL COMBUSTIBLES Y LUBRICANTES MAGUIREÑA,BIOMAX,MAGUI PAYAN,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-10-03,MAGUI PAYAN,"MAGUI PAYAN,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO FLUVIAL COMBUSTIBLES Y LUBRICANTES MAGUIREÑA,BIOMAX,MAGUI PAYAN,BIODIESEL EXTRA,"6,860",1,2017-10-03,MAGUI PAYAN,"MAGUI PAYAN,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO CAMPO ALEGRE,BIOMAX,RIVERAS DEL RIO MAGUI FRENTE A MAGUI PAYAN,BIODIESEL EXTRA,"8,730",1,2017-10-19,RIVERAS DEL RIO MAGUI FRENTE A MAGUI PAYAN,"RIVERAS DEL RIO MAGUI FRENTE A MAGUI PAYAN,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO CAMPO ALEGRE,BIOMAX,RIVERAS DEL RIO MAGUI FRENTE A MAGUI PAYAN,GASOLINA CORRIENTE OXIGENADA,"9,270",1,2017-10-19,RIVERAS DEL RIO MAGUI FRENTE A MAGUI PAYAN,"RIVERAS DEL RIO MAGUI FRENTE A MAGUI PAYAN,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
25,CUNDINAMARCA,25513,PACHO,ESTACION SANTA CECILIA,BIOMAX,DIAGONAL 5 No.18 - 107,BIODIESEL EXTRA,"8,253",1,2017-11-02,DIAGONAL 5 No.18 - 107,"DIAGONAL 5 No.18 - 107,PACHO,Colombia","(5.132306199999999, -74.15770069999999)"
25,CUNDINAMARCA,25513,PACHO,ESTACION SANTA CECILIA,BIOMAX,DIAGONAL 5 No.18 - 107,BIOACEM AL 9%,"8,253",1,2017-11-02,DIAGONAL 5 No.18 - 107,"DIAGONAL 5 No.18 - 107,PACHO,Colombia","(5.132306199999999, -74.15770069999999)"
25,CUNDINAMARCA,25513,PACHO,ESTACION SANTA CECILIA,BIOMAX,DIAGONAL 5 No.18 - 107,GASOLINA CORRIENTE OXIGENADA,"8,990",1,2017-11-02,DIAGONAL 5 No.18 - 107,"DIAGONAL 5 No.18 - 107,PACHO,Colombia","(5.132306199999999, -74.15770069999999)"
25,CUNDINAMARCA,25513,PACHO,ESTACION SANTA CECILIA,BIOMAX,DIAGONAL 5 No.18 - 107,GASOLINA EXTRA OXIGENADA,"11,280",1,2017-11-02,DIAGONAL 5 No.18 - 107,"DIAGONAL 5 No.18 - 107,PACHO,Colombia","(5.132306199999999, -74.15770069999999)"
52,NARIÑO,52427,MAGUI (PAYAN),MAGUI A,BIOMAX,BARRIO EL CEDRO DE MAGUI,GASOLINA CORRIENTE OXIGENADA,"6,860",1,2017-10-01,BARRIO EL CEDRO DE MAGUI,"BARRIO EL CEDRO DE MAGUI,MAGUI (PAYAN),Colombia","(3.4329876, -76.5383463)"
52,NARIÑO,52427,MAGUI (PAYAN),MAGUI A,BIOMAX,BARRIO EL CEDRO DE MAGUI,BIODIESEL EXTRA,"7,000",1,2017-10-01,BARRIO EL CEDRO DE MAGUI,"BARRIO EL CEDRO DE MAGUI,MAGUI (PAYAN),Colombia","(3.4329876, -76.5383463)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIOS LA PAMPETA,TEXACO,CABECERA MINUCIPAL DE MAGUI PAYAN BARRIO LA PLAYITA DE MAGUI,BIODIESEL EXTRA,"6,860",1,2017-10-06,CABECERA MINUCIPAL DE MAGUI PAYAN BARRIO LA PLAYITA DE MAGUI,"CABECERA MINUCIPAL DE MAGUI PAYAN BARRIO LA PLAYITA DE MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIOS LA PAMPETA,TEXACO,CABECERA MINUCIPAL DE MAGUI PAYAN BARRIO LA PLAYITA DE MAGUI,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-10-06,CABECERA MINUCIPAL DE MAGUI PAYAN BARRIO LA PLAYITA DE MAGUI,"CABECERA MINUCIPAL DE MAGUI PAYAN BARRIO LA PLAYITA DE MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52699,SANTA CRUZ (GUACHAVES),ESTACION DE SERVICIO CRISTAL LIMITADA,TERPEL,VEREDA EL BARAZON,GASOLINA CORRIENTE OXIGENADA,"6,300",1,2017-04-12,VEREDA EL BARAZON,"VEREDA EL BARAZON,SANTA CRUZ (GUACHAVES),Colombia","(1.51723, -77.25113999999999)"
52,NARIÑO,52699,SANTA CRUZ (GUACHAVES),ESTACION DE SERVICIO CRISTAL LIMITADA,TERPEL,VEREDA EL BARAZON,BIODIESEL EXTRA,"6,400",1,2017-04-12,VEREDA EL BARAZON,"VEREDA EL BARAZON,SANTA CRUZ (GUACHAVES),Colombia","(1.51723, -77.25113999999999)"
52,NARIÑO,52320,GUAITARILLA,ESTACION DE SERVICIO SAN FRANCISCO,TERPEL,Barrio San Francisco,BIODIESEL EXTRA,"6,250",1,2017-05-01,Barrio San Francisco,"Barrio San Francisco,GUAITARILLA,Colombia","(1.130349, -77.550994)"
52,NARIÑO,52320,GUAITARILLA,ESTACION DE SERVICIO SAN FRANCISCO,TERPEL,Barrio San Francisco,GASOLINA CORRIENTE OXIGENADA,"6,150",1,2017-05-01,Barrio San Francisco,"Barrio San Francisco,GUAITARILLA,Colombia","(1.130349, -77.550994)"
